icao,name,municipality,iso_country,type
K00A,Total RF Heliport,Bensalem,US,heliport
00AA,Aero B Ranch Airport,Leoti,US,small_airport
00AK,Lowell Field,Anchor Point,US,small_airport
00AL,Epps Airpark,Harvest,US,small_airport
00AN,Katmai Lodge Airport,King Salmon,US,small_airport
00AS,Fulton Airport,Alex,US,small_airport
00AZ,Cordes Airport,Cordes,US,small_airport
00CA,Goldstone (GTS) Airport,Barstow,US,small_airport
00CL,Williams Ag Airport,Biggs,US,small_airport
00CN,Kitchen Creek Helibase Heliport,Pine Valley,US,heliport
00FA,Grass Patch Airport,Bushnell,US,small_airport
00FL,River Oak Airport,Okeechobee,US,small_airport
00GA,Lt World Airport,Lithonia,US,small_airport
00GE,Caffrey Heliport,Hiram,US,heliport
00HI,Kaupulehu Heliport,Kailua-Kona,US,heliport
00ID,Delta Shores Airport,Clark Fork,US,small_airport
00IG,Goltl Airport,McDonald,US,small_airport
00IL,Hammer Airport,Polo,US,small_airport
00IN,St Mary Medical Center Heliport,Hobart,US,heliport
00IS,Hayenga's Cant Find Farms Airport,Kings,US,small_airport
00KS,Hayden Farm Airport,Gardner,US,small_airport
00KY,Robbins Roost Airport,Stanford,US,small_airport
00LA,Shell Chemical East Site Heliport,Gonzales,US,heliport
00LL,Ac & R Components Heliport,Chatham,US,heliport
00LS,Lejeune Airport,Crowley,US,small_airport
00MD,Slater Field,Federalsburg,US,small_airport
00MI,Dow Chemical Heliport,Ludington,US,heliport
00MN,Battle Lake Municipal Airport,Battle Lake,US,small_airport
00MO,Cooper Flying Service Airport,Alba,US,small_airport
00MT,Livingston Healthcare Heliport,Livingston,US,heliport
K00N,Bucks Airport,Bridgeton,US,small_airport
00NC,North Raleigh Airport,Louisburg,US,small_airport
00NJ,Colgate-Piscataway Heliport,New Brunswick,US,heliport
00NK,Cliche Cove Seaplane Base,Beekmantown,US,seaplane_base
00NR,Rodanthe Dare County Heliport,Rodanthe,US,heliport
00NY,Weiss Airfield,West Bloomfield,US,small_airport
00OI,Miami Valley Hospital Helistop,Dayton,US,heliport
00OK,Gull Bay Landing Airport,Sandsprings,US,small_airport
00OR,Steel Systems Heliport,Salem,US,heliport
00PA,R J D Heliport,Coatesville,US,heliport
00PN,Ferrell Field,Mercer,US,small_airport
K00S,McKenzie Bridge State Airport,Blue River,US,small_airport
00SC,Flying O Airport,Sumter,US,small_airport
00SD,Homan Field,Gary,US,small_airport
00TE,Tcjc-Northeast Campus Heliport,Fort Worth,US,heliport
00TS,Alpine Range Airport,Everman,US,small_airport
00TT,Nowhere Airport,Goodlett,US,small_airport
00VA,Vaughan Airport,Alton,US,small_airport
00VI,Groundhog Mountain Airport,Hillsville,US,small_airport
K00W,Lower Granite State Airport,Colfax,US,small_airport
00WA,Howell Airport,Longbranch,US,small_airport
00WI,Northern Lite Airport,Waupaca,US,small_airport
00WN,Hawks Run Airport,Asotin,US,small_airport
00WV,Lazy J. Aerodrome,Beverly,US,small_airport
00WY,Mountain View Regional Hospital Heliport,Casper,US,heliport
00XA,Weeski Ranch Airport,,US,small_airport
K01A,Purkeypile Airport,Purkeypile,US,small_airport
01AK,Providence Seward Medical Center Heliport,Seward,US,heliport
01AL,Ware Island Airport,Clanton,US,small_airport
01AN,McHone Heights Airport,Wasilla,US,small_airport
01AR,DeQueen Medical Center Heliport,DeQueen,US,heliport
01AZ,Yat Heliport,Camp Verde,US,heliport
01CA,SCE Lugo Substation Heliport,Hesperia,US,heliport
01CL,Swansboro Country Airport,Placerville,US,small_airport
01CO,St Vincent General Hospital Heliport,Leadville,US,heliport
01CT,Berlin Fairgrounds Heliport,Berlin,US,heliport
01FA,Rybolt Ranch Airport,Orlando,US,small_airport
01FD,Advent Health Altamonte Springs Heliport,Altamonte Springs,US,heliport
01FL,Cedar Knoll Flying Ranch Airport,Geneva,US,small_airport
01GA,Medical Center Heliport,Columbus,US,heliport
01GE,The Farm Airport,Wrightsville,US,small_airport
01ID,Lava Hot Springs Airport,Lava Hot Springs,US,small_airport
01II,Myers Field,Lizton,US,small_airport
01IL,Hoopeston Community Memorial Hospital Heliport,Hoopeston,US,heliport
01IN,Community Hospital Heliport,Anderson,US,heliport
01IS,William E. Koenig Airport,Dow,US,small_airport
K01J,Hilliard Airpark,Hilliard,US,small_airport
K01K,Caldwell Municipal Airport,Caldwell,US,small_airport
01KS,Flying N Ranch Airport,Lost Springs,US,small_airport
01KY,Lourdes Hospital Heliport,Paducah,US,heliport
01LA,Barham Airport,Oak Ridge,US,small_airport
01LL,Schumaier Restricted Landing Area,Pinckneyville,US,small_airport
01LS,Country Breeze Airport,Slaughter,US,small_airport
01MA,Compaq Andover Heliport,Andover,US,heliport
01MD,Annapolis Seaplane Base,Annapolis,US,seaplane_base
01ME,Saint Peter's Seaplane Base,Portage Lake,US,seaplane_base
01MI,Flow Through Terminal Heliport,Flint,US,heliport
01MN,Barnes Seaplane Base,Cook,US,seaplane_base
01MO,Highway Patrol Troop C Headquarters Heliport,Town and Country,US,heliport
01MT,Crystal Lakes Resort Airport,Fortine,US,small_airport
01MU,NWMC - Houghton Heliport,Tucson,US,heliport
01NC,Topsail Airpark,Holly Ridge,US,small_airport
01NH,Moore Airfield,Canaan,US,small_airport
01NJ,Albert Guido Memorial Heliport,Newark,US,heliport
01NM,Champion Ranch Airport,Lake Arthur,US,small_airport
01NR,McGee 01 Heliport,Wilmington,US,heliport
01NV,Lantana Ranch Airport,Yerington,US,small_airport
01NY,Vassar Hospital Heliport,Poughkeepsie,US,heliport
01OH,Atrium Medical Center Heliport,Middletown,US,heliport
01OI,Avita Health System Galion Hospital Heliport,Galion,US,heliport
01OL,Spring Creek Ranch East Airport,Tishomingo,US,small_airport
01PN,Bierly(Personal Use) Airport,Bellefonte,US,small_airport
01PS,Nort's Resort Airport,Meshoppen,US,small_airport
01SC,York Airport,York,US,small_airport
01TE,Smith Field,Forney,US,small_airport
01TN,Colonial Air Park,Collierville,US,small_airport
01TT,Clute Fire & EMS Station #1 Heliport,Clute,US,heliport
K01U,Duckwater Airport,Duckwater,US,small_airport
01UT,La Sal Junction Airport,La Sal,US,small_airport
01VA,Pickles Airport,Berryville,US,small_airport
01WA,Willapa Harbor Heliport,South Bend,US,heliport
01WN,Whidbey General Hospital Heliport,Coupeville,US,heliport
01WT,Odyssey Heliport,Renton,US,heliport
01WY,Keyhole Airport,Pine Haven,US,small_airport
01XA,Ascension Seton Hays Heliport,Kyle,US,heliport
01XS,Meadowood Ranch Heliport,Athens,US,heliport
02AA,Barefoot Airport,Big Lake,US,small_airport
02AK,Rustic Wilderness Airport,Willow,US,small_airport
02AL,Bass Field,Foley,US,small_airport
02AN,Emerald Ridge Airport,Homer,US,small_airport
02CA,Swepi Beta Platform Ellen Heliport,Huntington Beach,US,heliport
02CD,Shannon Field,Clarksdale,US,small_airport
02CL,Conover Air Lodge Airport,Frazier Park,US,small_airport
02CO,Mc Cullough Airport,Monte Vista,US,small_airport
02CT,Strangers Point Heliport,Ellington,US,heliport
02FA,Osborn Airfield,Groveland,US,small_airport
02FD,Triple R Ranch Airport,Baker,US,small_airport
02GA,Doug Bolton Field,Commerce,US,small_airport
02GE,Etowah Fields Airport,Euharlee,US,small_airport
02HI,K3 Helipad Heliport,Honolulu,US,heliport
02IA,Boone County Hospital Heliport,Boone,US,heliport
02ID,Morgan Ranch Airport,Cascade,US,small_airport
02II,King Ultralightport,Westfield,US,small_airport
02IN,Diamond P. Field,Muncie,US,small_airport
02IS,Condell Medical Center Heliport,Libertyville,US,heliport
02KS,JMJ Landing Airport,Saint Marys,US,small_airport
02KT,St Claire Healthcare Heliport,Morehead,US,heliport
02KY,Boone National Guard Heliport,Frankfort,US,heliport
02LA,Louisiana State Police Troop G Heliport,Bossier City,US,heliport
02LS,Windy Hill Heliport,Broussard,US,heliport
02MA,Cuttyhunk Heliport,Cuttyhunk,US,heliport
02MD,Garner Field,Brandywine,US,small_airport
02ME,Nadeau's Airfield,Acton,US,small_airport
02MI,Fairplains Airpark,Greenville,US,small_airport
02MO,Troy Airpark,Troy,US,small_airport
02MS,Watts Field,Rochdale,US,small_airport
02NE,Benes Service Airport,Valparaiso,US,small_airport
02NH,Iroquois Landing Seaplane Base,Dummer,US,seaplane_base
02NM,FFR Animas Landing Strip,Animas,US,small_airport
02NR,McGee 02 Heliport,Greenville,US,heliport
02NV,Paiute Meadows Airport,Winnemucca,US,small_airport
02NY,Hansen Heliport,Durhamville,US,heliport
02OH,Zimmerman Airport,Fremont,US,small_airport
02OI,Murtha Airport,Conneaut,US,small_airport
02OL,War Veterans Colony Heliport,Wilburton,US,heliport
02OR,Rowena Dell Airport,The Dalles,US,small_airport
26PA,Stottle Memorial Heliport,Honey Grove,US,heliport
02PA,Lag III Heliport,Monroeville,US,heliport
02PN,Peco Berwyn Heliport,Berwyn,US,heliport
02PR,Cuylers Airport,Vega Baja,PR,small_airport
02RI,Miramar Residence Heliport,Newport,US,heliport
02SC,Harpers Airport,Estill,US,small_airport
02TA,Matagorda Shore Facility Heliport,Matagorda,US,heliport
02TE,Baylor Medical Center Heliport,Waxahachie,US,heliport
02TN,Ellis Field,Rockvale,US,small_airport
02UT,Lucin Airport,Lucin,US,small_airport
02VA,The Greenhouse Airport,Culpeper,US,small_airport
02VG,Northstar Aviation Heliport,Bristol,US,heliport
02WA,Cawleys South Prairie Airport,South Prairie,US,small_airport
02WI,Beer Airport,Hudson,US,small_airport
02WN,Fowler Field,Tonasket,US,small_airport
02XA,JLS Farms Airport,Honey Grove,US,small_airport
03AA,Trapper T Heliport,Palmer,US,heliport
03AK,Joe Clouds Seaplane Base,Kenai,US,seaplane_base
03AL,Highland Medical Center Heliport,Scottsboro,US,heliport
03AR,Hscmh Heliport,Malvern,US,heliport
03AZ,Thompson International Aviation Airport,Hereford,US,small_airport
03CA,Grossmont Hospital Heliport,La Mesa,US,heliport
03FA,Lake Persimmon Airstrip,Lake Placid,US,small_airport
03GA,HIA Airport,Statesboro,US,small_airport
03GE,NGMC Lumpkin Hospital Heliport,Dahlonega,US,heliport
03ID,Flying Y Ranch Airport,Council,US,small_airport
03II,Davis Field Ultralightport,Mount Vernon,US,small_airport
03IL,Wix Airport,Monee,US,small_airport
03IN,Heinzman Airport,Arcadia,US,small_airport
03IS,OSF St Anthony's Health Center Heliport,Alton,US,heliport
03KS,Valley Grain Heliport,Highland,US,heliport
03KY,Flying H Farms Airport,Henderson,US,small_airport
03LA,Damien Heliport,Carville,US,heliport
03LS,Fmc Nr 1 Heliport,Winnsboro,US,heliport
03MA,Hadley Airport,Hadley,US,small_airport
