icao,ident,lat,lon,heading_true_deg
00CA,04,35.349300384521484,-116.89299774169922,50
00WI,09,44.30419921875,-89.052001953125,87.2
01LS,09,30.722700119018555,-91.0802001953125,92.2
01MT,13,48.79499816894531,-114.88600158691406,148
01OL,5,34.360721588134766,-96.7364730834961,50
01OL,23,34.3930549621582,-96.68888854980469,230
01WI,01,44.00559997558594,-90.3905029296875,9.6
04CA,8,34.5666,-117.683,90
04CA,26,34.5667,-117.6575,270
04MS,17,32.94419860839844,-90.8373031616211,180
04NV,02,35.751800537109375,-115.66799926757812,33.5
05CL,10,38.61309814453125,-122.39700317382812,116
05LS,02,31.247100830078125,-92.47830200195312,22.4
06FA,09,26.908100128173828,-80.33920288085938,90
06FA,27,26.908199310302734,-80.31770324707031,270
06MO,15,39.23529815673828,-94.806396484375,156.6
06TE,08,30.312299728393555,-95.03079986572266,83.9
06WN,27,46.92359924316406,-122.5479965209961,273.9
07FA,04,25.3207,-80.279198,40
07IA,18,40.650081,-95.021511,177
07IA,36,40.645694,-95.021189,357
07MT,10,48.430301666259766,-106.552001953125,120
07MT,28,48.411800384521484,-106.50399780273438,300
07TE,13,27.725799560546875,-97.51750183105469,134
08MS,07,34.660499572753906,-89.87419891357422,70
09CL,01,39.11000061,-121.0589981,26
09FA,18,27.252199172973633,-81.41310119628906,180
09TS,09,29.48240089,-103.1709976,90
0AZ2,12,33.77939987182617,-113.64399719238281,131
0AZ2,17,33.78279877,-113.6409988,183
0CA9,16,35.59939956665039,-120.33899688720703,173
0CO2,11,38.854400634765625,-106.93800354003906,121.1
0ID2,11,44.44589996,-113.7850037,110
0KY1,10,36.76610184,-86.623703,98
0MI8,17,44.894554138183594,-84.30105590820312,170
0MI8,35,44.890567779541016,-84.2999496459961,350
0MI8,4,44.89099884033203,-84.30110168457031,36
0MI8,22,44.89720153808594,-84.2947998046875,216
0MS0,04,32.47159957885742,-88.62000274658203,40
0MS0,22,32.47840118408203,-88.61329650878906,310.3
0NE6,17,40.43840026855469,-98.07109832763672,175.9
0OH8,03,40.184600830078125,-84.25830078125,24.8
0OK3,16,35.6260986328125,-98.5239028930664,170.4
0TA7,05,30.141000747680664,-103.90599822998047,58.5
0TA7,12,30.157100677490234,-103.90599822998047,128.5
0TA7,15,30.161300659179688,-103.89900207519531,158.5
0TE4,16,31.084999084472656,-96.21649932861328,164.6
0TE5,17,27.4419002532959,-99.1875,170
0TE7,17,30.260400772094727,-98.62339782714844,175
0TE7,35,30.243200302124023,-98.62169647216797,355
0TX1,18,32.35879898071289,-97.6759033203125,185.4
0WI1,04,45.50389862,-92.14579773,39.3
0WI4,08,43.82889938354492,-89.35859680175781,82.8
0XA4,15,28.00320053,-98.88539886,156
0XA4,33,27.99069977,-98.8789978,336
0XA5,13,28.688600540161133,-98.38690185546875,136
0XS7,13,29.19809913635254,-100.28099822998047,140
10AZ,08,33.36640167236328,-112.6240005493164,90
11LS,07,30.97520065,-92.57170105,70.3
11LS,09,30.97610092,-92.57109833,91.9
12NC,01,34.86899948120117,-76.34919738769531,0.5
12NC,05,34.87189865112305,-76.35600280761719,46.6
12NC,10,34.878501892089844,-76.3550033569336,90.5
12WV,18,38.34577941894531,-82.11255645751953,169
12WV,36,38.342288970947266,-82.11170959472656,349
12WV,6,38.342481,-82.111962,45
12WV,24,38.344563,-82.108924,225
13NC,05,35.02629852294922,-77.26360321044922,44.6
14AZ,06,31.906400680541992,-111.12899780273438,71.1
14MS,03,32.34339904785156,-89.0354995727539,30
14MS,08,32.344398498535156,-89.03970336914062,79.6
14NC,05,34.50310135,-77.56169891,52.3
14TS,16,27.42950058,-98.60769653,160
14WS,15,45.780601501464844,-91.56159973144531,140.3
15AR,14,34.82870101928711,-90.54570007324219,144.7
15FL,09,30.14999962,-82.66690063,90
15FL,18,30.15859985,-82.66639709,180
15MN,05,45.2599983215332,-94.51439666748047,49.8
15MN,23,45.264400482177734,-94.50689697265625,271.9
17FL,09,29.29059982,-82.13619995,90
17FL,18,29.29059982,-82.12480164,180
17FL,36,29.26989937,-82.12480164,255
17TX,17,32.45309829711914,-98.25540161132812,175.5
17XS,01,32.16960144042969,-98.4385986328125,20.2
18AZ,06,33.81639862,-111.9039993,72.6
18TA,16,30.142099380493164,-99.74610137939453,160
18TE,08,32.58530045,-95.07219696,91
18TE,26,32.58509827,-95.05570221,271
19AR,09,35.15679931640625,-92.22709655761719,92.4
19AZ,17,34.60940170288086,-111.86599731445312,182.6
1AZ0,09,33.10139846801758,-112.27400207519531,101.7
1AZ0,27,33.098899841308594,-112.25900268554688,241.6
1CD2,08,40.166500091552734,-104.7979965209961,80
1CD2,26,40.16790008544922,-104.78700256347656,223
1CO5,08,38.01580047607422,-103.70899963378906,94.6
1CO5,18,38.0182991027832,-103.697998046875,193
1LS0,17,30.229400634765625,-90.88269805908203,174
1LS0,35,30.218599319458008,-90.88140106201172,354
1MO3,SE,39.936298,-94.075684,155
1MO3,NW,39.928827,-94.071593,335
1MS8,13,32.94609833,-88.58670044,133
1MY1,09,45.98569869995117,-96.20330047607422,93.9
1OK3,17,34.57970047,-97.81439972,164.3
1TE1,13,28.254199981689453,-99.82129669189453,136.2
1TE1,31,28.246299743652344,-99.81269836425781,240.3
1VA8,13,36.86439895629883,-78.41349792480469,127.2
1VA8,31,36.859500885009766,-78.4052963256836,284
1WA6,E,47.55939865112305,-121.87000274658203,88
1WA6,W,47.55970001220703,-121.85800170898438,268
1WI8,18,44.639400482177734,-87.44049835205078,176.9
1WN3,03,45.209999084472656,-92.53759765625,30.7
1WN3,12,45.213401794433594,-92.53919982910156,124
1XS8,16,29.63990020751953,-100.37699890136719,160
20AR,08,35.30720138549805,-92.3230972290039,73.8
20AR,26,35.30860137939453,-92.31729888916016,252
20GA,10,33.757301330566406,-84.8927993774414,97
20GA,28,33.75590133666992,-84.87770080566406,277
21AZ,12,34.35609817504883,-109.9749984741211,133.1
22XS,15,31.37809944152832,-97.66919708251953,153.5
22XS,33,31.369400024414062,-97.66419982910156,205
23ND,08,47.081298828125,-101.2750015258789,80
23ND,26,47.08319854736328,-101.25900268554688,260
23XS,15,31.363399505615234,-97.67449951171875,152
24AR,18,34.201499938964844,-90.95240020751953,185.8
24CL,14,36.09749985,-119.5469971,157.1
25NC,18,35.63759994506836,-79.71070098876953,173
25TA,09,29.83659935,-94.97309875,90
25TS,17,36.10060119628906,-102.41600036621094,180
26AR,10,35.21659851074219,-91.81269836425781,105.5
27AZ,17,33.92470169067383,-113.16699981689453,184.9
27IA,09,40.75130081176758,-92.03410339355469,90
27IA,27,40.75130081176758,-92.02760314941406,270
28TA,14,27.84440040588379,-98.72720336914062,140
29AZ,03,32.900299072265625,-112.90699768066406,45.5
29AZ,21,32.91080093383789,-112.89399719238281,340
29AZ,18,32.91059875488281,-112.89399719238281,191.4
29IA,17,40.760414,-95.624069,173
29IA,35,40.752117,-95.62276,353
29TX,15,34.09809875488281,-99.36810302734375,150
2CL9,07,38.333900451660156,-121.31099700927734,85.6
2CN4,16,35.65420150756836,-119.88200378417969,176.2
2CN4,34,35.64390182495117,-119.88099670410156,268.8
2IL9,04,41.42919921875,-87.78559875488281,39.4
2KY5,16,38.37889862,-83.1568985,156
2NC0,14,35.871639,-82.345573,136
2NC0,32,35.86625,-82.339304,316
2OR1,04,44.82529830932617,-120.50199890136719,57
2SC5,08,34.29100036621094,-82.05879974365234,80
